metodo,notas
A,422
A,346
A,489
A,460
A,564
A,469
A,272
A,379
A,590
A,578
A,457
A,402
A,438
A,395
A,403
A,417
A,517
A,396
A,390
A,372
A,554
A,417
A,531
A,529
A,459
A,372
A,526
A,491
A,307
A,524
A,415
A,505
A,325
A,252
A,486
A,360
A,377
A,493
A,353
A,336
A,534
A,418
A,529
A,231
A,318
A,314
A,410
A,362
A,472
A,220
A,334
A,338
A,392
A,444
A,597
A,340
A,345
A,470
A,384
A,535
A,293
A,506
A,269
A,606
A,413
A,377
A,360
A,489
A,453
A,383
A,416
A,351
A,304
A,418
A,472
A,363
A,424
A,333
A,320
A,395
A,529
A,379
A,343
A,253
A,297
A,269
A,316
A,287
A,437
A,380
A,272
A,320
A,416
A,461
A,469
A,395
A,633
A,342
A,497
A,-595
B,497
B,593
B,513
B,489
B,514
B,529
B,352
B,681
B,603
B,415
B,352
B,568
B,599
B,612
B,556
B,514
B,567
B,445
B,465
B,697
B,453
B,512
B,425
B,712
B,491
B,622
B,624
B,431
B,560
B,466
B,287
B,633
B,592
B,429
B,327
B,467
B,622
B,580
B,517
B,357
B,646
B,625
B,597
B,441
B,587
B,453
B,480
B,405
B,564
B,473
B,616
B,613
B,443
B,679
B,662
B,477
B,580
B,439
B,454
B,315
B,635
B,559
B,574
B,432
B,382
B,623
B,370
B,527
B,448
B,502
B,498
B,705
B,477
B,466
B,299
B,693
B,532
B,481
B,588
B,445
B,412
B,422
B,532
B,563
B,363
B,715
B,453
B,563
B,569
B,551
B,507
B,456
B,525
B,582
B,404
B,490
B,460
B,436
B,673
B,1371
